"","Var1","Freq"
"521","Human immunodeficiency virus 1",15839
"1143","Simian immunodeficiency virus",2138
"455","Hepatitis B virus",2129
"453","Hepacivirus C",1851
"58","Avian avulavirus 1",1728
"464","Hepatitis E virus",1582
"1037","Rabies lyssavirus",1475
"1078","Rotavirus A",1425
"348","Enterovirus A71",1408
"821","Measles virus genotype H1",1225
"1001","Porcine reproductive and respiratory syndrome virus",1057
"993","Porcine epidemic diarrhea virus",1055
"304","Dengue virus 1",1053
"1288","West Nile virus",928
"188","Canine morbillivirus",797
"526","Human orthopneumovirus",764
"681","Influenza A virus (A/Puerto Rico/8/1934(H1N1))",741
"552","Human poliovirus 2",729
"560","Human rotavirus A",713
"564","Human T-cell leukemia virus type I",706
"1071","Rodent hepacivirus",703
"758","Japanese encephalitis virus",634
"107","Bat pegivirus",595
"1141","Simian foamy virus",593
"226","Chikungunya virus",591
"1132","Seoul orthohantavirus",579
"354","Enterovirus D68",572
"1150","Small ruminant lentivirus",561
"403","Foot-and-mouth disease virus - type O",560
"536","Human papillomavirus type 16",557
"592","Influenza A virus (A/chicken/Guangdong/SD641/2013(H7N9))",528
"459","Hepatitis C virus subtype 1b",510
"827","Middle East respiratory syndrome-related coronavirus",506
"1138","Simian-Human immunodeficiency virus",503
"106","Bat Hepatitis B virus",496
"1036","Rabbit hemorrhagic disease virus",495
"685","Influenza A virus (A/Shanghai/02/2013(H7N9))",465
"687","Influenza A virus (A/Shanghai/5083T/2013(H7N9))",465
"736","Influenza A virus (A/wild duck/Guangdong/520/2001(H1N9))",465
"741","Influenza A virus (A/Zhejiang/DTID-ZJU01/2013(H7N9))",465
"518","Human gammaherpesvirus 4",419
"527","Human papillomavirus",418
"307","Dengue virus 4",393
"636","Influenza A virus (A/flat-faced bat/Peru/033/2010(H18N11))",378
"837","Monkeypox virus",373
"990","Porcine circovirus 2",349
"569","Infectious bronchitis virus",347
"559","Human rhinovirus sp.",342
"163","Bovine viral diarrhea virus 1",333
"292","Cyclovirus VN",325
"305","Dengue virus 2",322
"936","Orthobunyavirus BX-2010/Henan/CHN",307
"334","Elephant endotheliotropic herpesvirus 1A",305
"555","Human respiratory syncytial virus A",296
"502","Human betaherpesvirus 5",281
"935","Orf virus",280
"336","Elephant endotheliotropic herpesvirus 3A",276
"337","Elephant endotheliotropic herpesvirus 3B",276
"401","Foot-and-mouth disease virus - type A",273
"1293","Xuan son virus",272
"273","Coxsackievirus A6",270
"686","Influenza A virus (A/Shanghai/4664T/2013(H7N9))",268
"242","Citrus tristeza virus",267
"1217","Tick-borne encephalitis virus",267
"1212","Tembusu virus",266
"279","Crimean-Congo hemorrhagic fever orthonairovirus",265
"1124","Schmallenberg virus",262
"1098","Saffold virus",255
"101","Bat coronavirus BtCoV/8-724/Pip_pyg/ROU/2009",253
"119","Betacoronavirus BtCoV/KCR180/Pte_par/CRC/2012",253
"120","Betacoronavirus BtCoV/KW2E-F82/Nyc_spec/GHA/2011",253
"254","Coronavirus BtCoV/KCR289/Ano_geo/CRC/2010",253
"500","Human betacoronavirus 2c EMC/2012",253
"1053","Reticuloendotheliosis virus",252
"1100","Salmon isavirus",248
"543","Human papillomavirus type 6",240
"680","Influenza A virus (A/PERTH/201/2002(H3N2))",240
"768","Koala retrovirus",239
"951","Parechovirus A",238
"520","Human immunodeficiency virus",237
"525","Human metapneumovirus",236
"507","Human bocavirus",235
"671","Influenza A virus (A/Mexico City/INER1/2009(H1N1))",231
"983","Polyomavirus PgPyV-1",231
"1145","Simian immunodeficiency virus - mac251",231
"446","Hantaan orthohantavirus",227
"570","Infectious bursal disease virus",220
"270","Coxsackievirus A16",213
"67","Avipoxvirus isolate United Kingdom",210
"108","Bat SARS-like coronavirus Rs3262-2",210
"109","Bat SARS-like coronavirus WIV1",210
"126","Black queen cell virus",210
"339","Elephant endotheliotropic herpesvirus 5A",210
"813","Marburg marburgvirus",210
"882","Norovirus Hu/GII.3/30012/HCMC-VNM/2009",210
"890","Norovirus Hu/GII.4/C00006631/2011/UK",210
"1057","Rhinovirus C",208
"244","Classical swine fever virus",203
"522","Human immunodeficiency virus 2",201
"335","Elephant endotheliotropic herpesvirus 1B",199
"186","Canine coronavirus",198
"189","Canine parvovirus",195
"1064","Rice black streaked dwarf virus",193
"1070","Rift Valley fever virus",193
"1133","Severe fever with thrombocytopenia virus",191
"5","Achimota virus 1",190
"576","Influenza A virus (A/blue-winged teal/Alberta/134/1989(H3N6))",190
"638","Influenza A virus (A/Fujian/156/2000(H1N1))",190
"714","Influenza A virus (A/swine/Saitama/14/2004(H1N2))",190
"1134","SFTS virus HNXY_212",190
"303","Dengue virus",188
"278","Coxsackievirus B5",187
"549","Human parvovirus B19",187
"491","Human alphaherpesvirus 1",186
"325","Echovirus E30",184
"417","Gallid alphaherpesvirus 2",183
"508","Human bocavirus 1",182
"467","Hepatovirus A",176
"59","Avian avulavirus 4",174
"782","Lassa mammarenavirus",172
"154","Bovine leukemia virus",171
"255","Coronavirus Mex_CoV-6",171
"1182","Streptococcus phage phiBHN167",171
"1268","uncultured phage",168
"980","Plum pox virus",166
"1093","Rubella virus",160
"306","Dengue virus 3",159
"1249","Toscana virus",157
"760","JC polyomavirus",155
"309","Dezidougou virus",153
"332","Eidolon helvum lung retrovirus 1",153
"351","Enterovirus B85",153
"497","Human astrovirus 5",153
"611","Influenza A virus (A/duck/Bangladesh/1231/2009(H9N2))",153
"774","Lactobacillus phage phiAQ113",153
"944","Pan troglodytes polyomavirus 4",153
"975","Pieris rapae granulovirus",153
"1144","Simian immunodeficiency virus - agm",153
"1151","Small ruminant morbillivirus",149
"995","Porcine kobuvirus",147
"1178","STL polyomavirus",146
"547","Human parainfluenza virus 4a",141
"48","Asikkala orthohantavirus",136
"65","Avian orthoreovirus",136
"149","Bovine astrovirus NeuroS1",136
"466","Hepatitis GB virus B",136
"580","Influenza A virus (A/canine/Guangdong/3/2011(H3N2))",136
"678","Influenza A virus (A/Ontario/030/2012(H3N2))",136
"712","Influenza A virus (A/swine/Michigan/33261/2010(H3N2))",136
"731","Influenza A virus (A/turkey/Italy/2962/2003(H7N3))",136
"937","Ostreid herpesvirus 1",136
"943","Palm Creek virus",136
"1091","Rousettus polyomavirus 1",136
"548","Human parechovirus 3",135
"214","Changuinola virus",132
"260","Cotesia sesamiae bracovirus",132
"846","Murine astrovirus",132
"973","Phthorimaea operculella granulovirus",132
"1239","Tomato spotted wilt orthotospovirus",132
"62","Avian leukosis virus",129
"342","Encephalomyocarditis virus",129
"979","Piscine orthoreovirus",124
"1099","Saint Louis encephalitis virus",123
"349","Enterovirus A90",121
"420","GB virus C",121
"104","Bat Coronavirus Rhhar/CII_KSA_004/Bisha/Saudi Arabia/2013",120
"155","Bovine papillomavirus type 11",120
"191","Canine parvovirus 2a",120
"358","Eptesipox virus",120
"480","HIV-1 M:D_AN174",120
"629","Influenza A virus (A/environment/Wuxi/1/2013(H7N9))",120
"729","Influenza A virus (A/turkey/Germany/R11/2001(H7N7))",120
"740","Influenza A virus (A/Wuxi/1/2013(H7N9))",120
"746","Influenza B virus (B/Uganda/MUWR-083/2009)",120
"786","Leishmania RNA virus 1 - LgM5313",120
"946","Panulirus argus virus 1",120
"1077","Ross River virus",120
"283","Cucumber mosaic virus",119
"490","Human adenovirus D10",119
"165","Bovine viral diarrhea virus 3",118
"277","Coxsackievirus B3",118
"1246","Torque teno sus virus 1a",118
"806","Mamastrovirus 1",114
"820","Measles virus genotype D9",111
"855","Myxoma virus",111
"178","Camelpox virus",108
"553","Human polyomavirus 1",108
"416","Gallid alphaherpesvirus 1",106
"33","Anopheline-associated C virus",105
"297","Dak Nong virus",105
"333","Eidolon helvum paramyxovirus",105
"371","Escherichia phage ADB-2",105
"438","Guereza hepacivirus",105
"454","Hepacivirus E",105
"461","Hepatitis C virus subtype 2c",105
"623","Influenza A virus (A/duck/Vietnam/OIE-4217/2010(H6N2))",105
"635","Influenza A virus (A/finch/England/2051/1991(H5N2))",105
"641","Influenza A virus (A/goose/Shandong/k1204/2009(H5N5))",105
"658","Influenza A virus (A/Jiangsu/ALS1/2011(H1N1))",105
"709","Influenza A virus (A/swine/Jiangsu/s15/2011(H1N1))",105
"713","Influenza A virus (A/swine/Saerbeck/IDT13755/2011(H1N2))",105
"721","Influenza A virus (A/swine/Wuerusreuth/IDT10990/2009(H3N1))",105
"833","Mitovirus AEF-2013",105
"848","Murine norovirus 1",105
"1027","Pseudomonas phage PaP1",105
"1127","Seal anellovirus 3",105
"1184","Streptomyces phage phiELB20",105
"326","Echovirus E6",102
