,Var1,Freq
218,Human immunodeficiency virus 1,6988
485,Torque teno virus,798
182,Hepacivirus C,683
183,Hepatitis B virus,561
217,Human gammaherpesvirus 8,465
156,GB virus C,385
83,Chlamydia virus CPAR39,351
189,Hepatitis E virus,349
340,Nipah henipavirus,281
434,Simian immunodeficiency virus,270
230,Human poliovirus 1,233
90,Citrus tristeza virus,220
231,Human poliovirus 2,210
327,Measles morbillivirus,201
132,Enterobacteria phage VT1-Sakai,190
114,Dengue virus 2,180
242,Human T-cell leukemia virus type I,176
384,Porcine reproductive and respiratory syndrome virus,174
286,Japanese encephalitis virus,172
134,Enterovirus A71,171
510,White spot syndrome virus,163
243,Human T-lymphotropic virus 2,136
257,Influenza A virus (A/duck/Siberia/145/96(H11N9)),136
198,Human alphaherpesvirus 1,132
237,Human rotavirus A,124
248,Infectious bursal disease virus,119
44,Borna disease virus 1,114
225,Human papillomavirus type 16,114
5,African swine fever virus,111
430,Shrimp white spot syndrome virus,110
299,Kyuri green mottle mosaic virus,109
53,Bovine gammaherpesvirus 4,108
104,Cucumber mosaic virus,108
187,Hepatitis C virus subtype 1b,108
86,Choclo virus,105
343,Norwalk-like virus,101
176,Hantaan orthohantavirus,94
219,Human immunodeficiency virus 2,91
261,Influenza A virus (A/Hong Kong/1073/99(H9N2)),91
460,Sulfolobus islandicus filamentous virus,91
310,Lassa mammarenavirus,90
418,Rotavirus G9,87
221,Human orthopneumovirus,84
113,Dengue virus 1,81
332,Mumps rubulavirus,80
10,Amur virus,78
216,Human gammaherpesvirus 4,76
441,Sindbis virus,76
200,Human alphaherpesvirus 3,73
228,Human parvovirus B19,72
432,Simian-Human immunodeficiency virus,72
61,Bovine viral diarrhea virus 1,70
71,Caprine arthritis encephalitis virus,70
155,Gallid alphaherpesvirus 2,70
43,Bombyx mori nucleopolyhedrovirus,67
106,Cucurbit leaf crumple virus,67
12,Andes orthohantavirus,66
22,Avian avulavirus 1,66
139,Equine foamy virus,66
177,Hantavirus CG32/Moscow-95,66
208,Human calicivirus NLV/Aichi/124-89/JP,66
283,Influenza C virus,64
247,Infectious bronchitis virus,63
291,JC polyomavirus,62
379,Porcine circovirus 2,60
84,Chlorella virus,57
390,Potato virus Y,56
18,Argentinian mammarenavirus,55
41,Bluetongue virus,55
54,Bovine leukemia virus,55
173,Guanarito mammarenavirus,55
262,Influenza A virus (A/Hong Kong/482/97(H5N1)),55
275,Influenza A virus (A/turkey/Pavia/40/83(H9N2)),55
350,Orf virus,55
397,Puumala orthohantavirus,55
146,Foot-and-mouth disease virus - type O,54
468,Tobacco mosaic virus,51
492,Transmissible gastroenteritis virus,49
69,Canine parvovirus,48
319,Macacine gammaherpesvirus 4,48
100,Coxsackievirus B3,46
65,California sea lion herpesvirus,45
81,Chitta virus,45
108,Cynomolgus Epstein-Barr Virus TsB-B6,45
109,Cyprinid herpesvirus 3,45
184,Hepatitis B virus subtype adr,45
255,Influenza A virus (A/duck/Czechoslovakia/1956(H4N6)),45
256,Influenza A virus (A/Duck/Hong Kong/T25/97(H11N8)),45
337,Mycobacterium virus Bxb1,45
351,Oropouche virus,45
373,Pilot whale morbillivirus,45
