"","Var1","Freq"
"384","Human immunodeficiency virus 1",195
"330","Hepatitis B virus",48
"867","Rabies lyssavirus",38
"341","Hepatitis E virus",33
"33","Avian avulavirus 1",29
"329","Hepacivirus C",24
"431","Infectious bronchitis virus",22
"420","Human rotavirus A",20
"236","Enterovirus A71",18
"950","Simian immunodeficiency virus",16
"128","Canine morbillivirus",15
"149","Chikungunya virus",14
"836","Porcine reproductive and respiratory syndrome virus",14
"824","Porcine circovirus 2",13
"628","Japanese encephalitis virus",12
"998","Tick-borne encephalitis virus",11
"192","Cucumber mosaic virus",10
"336","Hepatitis C virus subtype 1a",10
"345","Hepatovirus A",10
"670","Measles morbillivirus",10
"160","Classical swine fever virus",9
"188","Crimean-Congo hemorrhagic fever orthonairovirus",9
"208","Dengue virus 3",9
"268","Feline immunodeficiency virus",9
"280","Foot-and-mouth disease virus - type O",9
"373","Human betaherpesvirus 5",9
"374","Human bocavirus",9
"207","Dengue virus 2",8
"69","Beak and feather disease virus",7
"337","Hepatitis C virus subtype 1b",7
"365","Human alphaherpesvirus 1",7
"382","Human gammaherpesvirus 8",7
"385","Human immunodeficiency virus 2",7
"390","Human metapneumovirus",7
"412","Human poliovirus 3",7
"626","Iris yellow spot virus",7
"52","Banana bunchy top virus",6
"159","Citrus tristeza virus",6
"391","Human orthopneumovirus",6
"423","Human T-cell leukemia virus type I",6
"680","Merkel cell polyomavirus",6
"765","Orf virus",6
"879","Reticuloendotheliosis virus",6
"894","Rotavirus A",6
"958","Small ruminant morbillivirus",6
"20","Anatid alphaherpesvirus 1",5
"206","Dengue virus 1",5
"295","GB virus C",5
"432","Infectious bursal disease virus",5
"780","Parechovirus A",5
"848","Potato virus Y",5
"1030","Tomato yellow leaf curl virus",5
"1078","Viral hemorrhagic septicemia virus",5
"1081","West Nile virus",5
"16","Alfalfa mosaic virus",4
"85","Bluetongue virus",4
"92","Border disease virus",4
"107","Bovine viral diarrhea virus 1",4
"135","Caprine arthritis encephalitis virus",4
"136","Capsicum chlorosis virus",4
"245","Equid gammaherpesvirus 5",4
"267","Feline coronavirus",4
"366","Human alphaherpesvirus 2",4
"368","Human astrovirus",4
"411","Human poliovirus 2",4
"631","JC polyomavirus",4
"908","Rotavirus G9",4
"914","Rubella virus",4
"983","Sugarcane mosaic virus",4
"989","Sweet potato feathery mottle virus",4
"992","Swine hepatitis E virus",4
"1006","Tobacco rattle virus",4
"1027","Tomato torrado virus",4
"1048","Tula orthohantavirus",4
"1087","WU Polyomavirus",4
"24","Apple stem grooving virus",3
"25","Apple stem pitting virus",3
"41","Avian leukosis virus",3
"104","Bovine rotavirus",3
"126","Canine coronavirus",3
"129","Canine parvovirus",3
"130","Canine parvovirus 2",3
"131","Canine parvovirus 2a",3
"142","Cherry leaf roll virus",3
"179","Coxsackievirus A16",3
"230","Enterobacteria phage K1F",3
"282","Foot-and-mouth disease virus - type SAT 2",3
"290","Frog virus 3",3
"301","Grapevine fanleaf virus",3
"305","Grapevine leafroll-associated virus 4",3
"308","Grapevine rupestris stem pitting-associated virus",3
"375","Human bocavirus 2",3
"381","Human gammaherpesvirus 4",3
"388","Human mastadenovirus B",3
"404","Human parechovirus 1",3
"407","Human parvovirus 4",3
"418","Human rhinovirus sp.",3
"430","Impatiens necrotic spot virus",3
"643","Lassa mammarenavirus",3
"684","Mirafiori lettuce big-vein virus",3
"693","Mumps rubulavirus",3
"776","Papaya ringspot virus",3
"796","Pepino mosaic virus",3
"830","Porcine epidemic diarrhea virus",3
"834","Porcine parvovirus 4",3
"842","Porcine torovirus",3
"855","Pseudocowpox virus",3
"866","Rabbit hemorrhagic disease virus",3
"875","Redspotted grouper nervous necrosis virus",3
"904","Rotavirus G10",3
"916","Saffold virus",3
"979","Strawberry necrotic shock virus",3
"991","Sweet potato mild mottle virus",3
"997","Teschovirus A",3
"1039","Toscana virus",3
"1052","Turkey coronavirus",3
"1062","uncultured virus",3
"1068","Venezuelan equine encephalitis virus",3
"1077","Vibrio virus CTXphi",3
"1093","Yellow fever virus",3
"1098","Zucchini yellow mosaic virus",3
"8","African swine fever virus",2
"13","Aichi virus 1",2
"22","Antheraea mylitta cypovirus 4",2
"27","Argentinian mammarenavirus",2
"35","Avian avulavirus 2",2
"40","Avian hepatitis E virus",2
"42","Avian metapneumovirus",2
"45","Avian orthoreovirus",2
"59","Bat adeno-associated virus",2
"70","Bean common mosaic virus",2
"72","Bean pod mottle virus",2
"73","Bean yellow mosaic virus",2
"75","Beet cryptic virus 1",2
"78","Bermuda grass mosaic virus",2
"81","Black queen cell virus",2
"83","Blackberry chlorotic ringspot virus",2
"105","Bovine rotavirus A",2
"108","Bovine viral diarrhea virus 2",2
"114","Buggy Creek virus",2
"127","Canine minute virus",2
"132","Canine parvovirus 2c",2
"138","Cassava brown streak virus",2
"177","Courdo11 virus",2
"178","Cowpea mild mottle virus",2
"180","Coxsackievirus A24",2
"182","Coxsackievirus A6",2
"183","Coxsackievirus A9",2
"184","Coxsackievirus B1",2
"194","Cucurbit chlorotic yellows virus",2
"203","Deformed wing virus",2
"209","Dengue virus 4",2
"211","Dobrava-Belgrade orthohantavirus",2
"224","Echovirus E6",2
"225","Echovirus E9",2
"226","Edge Hill virus",2
"227","Elephant endotheliotropic herpesvirus 1B",2
"243","Epizootic hemorrhagic disease virus",2
"246","Equine arteritis virus",2
"255","Escherichia virus phiX174",2
"257","Euphorbia mosaic virus",2
"260","European bat 2 lyssavirus",2
"262","Faba bean necrotic stunt virus",2
"269","Feline leukemia virus",2
"277","Foot-and-mouth disease virus - type A",2
"279","Foot-and-mouth disease virus - type C",2
"287","Fowlpox virus",2
"293","Gallid alphaherpesvirus 1",2
"303","Grapevine leafroll-associated virus 2",2
"304","Grapevine leafroll-associated virus 3",2
"306","Grapevine leafroll-associated virus 5",2
"309","Grapevine Syrah virus 1",2
"311","Grapevine virus E",2
"312","Grass carp reovirus",2
"338","Hepatitis C virus subtype 3a",2
"355","Human adenovirus 11a",2
"358","Human adenovirus 2",2
"362","Human adenovirus 55",2
"364","Human adenovirus B3",2
