"","Var1","Freq"
"2069","West Nile virus",30126
"352","Dengue virus 3",16437
"606","Human immunodeficiency virus 1",10763
"350","Dengue virus 1",7485
"351","Dengue virus 2",5770
"542","Hepacivirus C",2256
"332","Cyanophage S-SSM6b",1653
"1920","Synechococcus phage S-SSM4",1653
"543","Hepatitis B virus",1635
"1439","Mycobacterium virus Crimd",1431
"1434","Mycobacterium phage Eagle",1378
"1436","Mycobacterium phage Wee",1378
"328","Cyanophage P-RSM6",1326
"329","Cyanophage P-SS1",1326
"330","Cyanophage S-SSM2",1326
"331","Cyanophage S-SSM6a",1326
"333","Cyanophage Syn30",1326
"1667","Prochlorococcus phage MED4-184",1326
"1668","Prochlorococcus phage MED4-213",1326
"1670","Prochlorococcus phage P-SSM3",1326
"1672","Prochlorococcus phage P-SSM5",1326
"1673","Prochlorococcus phage P-SSP3",1326
"1674","Prochlorococcus phage P-SSP6",1326
"2057","Vibrio phage SIO-2",1326
"2049","Vibrio phage helene 12B3",1275
"2059","Vibrio phage VBM1",1035
"2060","Vibrio phage VBP47",1035
"2061","Vibrio phage VBpm10",1035
"1693","Rabies lyssavirus",1011
"1745","Rotavirus A",948
"224","Cellulophaga phage phi47:1",946
"225","Cellulophaga phage phiSM",946
"274","Colwellia phage 9A",946
"399","Emiliania huxleyi virus PS401",946
"1917","Synechococcus phage S-RIM8 A.HR5",946
"2047","Vibrio phage 11895-B1",946
"2053","Vibrio phage nt-1",946
"617","Human papillomavirus type 58",906
"373","Dunaliella viridis virus SI2",903
"527","Halorubrum phage CGphi46",903
"1399","Methylophilales phage HIM624-A",903
"1401","Micromonas pusilla virus PL1",903
"1402","Micromonas pusilla virus SP1",903
"1435","Mycobacterium phage Island3",903
"1561","Paenibacillus phage PG1",903
"1895","Sulfitobacter phage pCB2047-A",903
"1896","Sulfitobacter phage pCB2047-C",903
"1914","Synechococcus phage S-IOM18",903
"1915","Synechococcus phage S-RIM2 R21_2007",903
"1918","Synechococcus phage S-RIP1",903
"1927","Tetraselmis viridis virus S1",903
"2054","Vibrio phage PWH3a-P1",903
"655","Infectious bronchitis virus",893
"553","Hepatitis C virus subtype 3a",863
"1913","Synechococcus phage S-CBS4",862
"17","Aeromonas phage pIS4-A",861
"223","Cellulophaga phage phi3:1",861
"226","Cellulophaga phage phiST",861
"1400","Micromonas pusilla virus 12T",861
"1554","Ostreococcus lucimarinus virus OlV4",861
"1555","Ostreococcus lucimarinus virus OlV5",861
"1556","Ostreococcus lucimarinus virus OlV6",861
"1608","Phaeocystis globosa virus 14T",861
"1839","Silicibacter phage DSS3-P1",861
"1906","Synechococcus phage S-CAM1",861
"1907","Synechococcus phage S-CAM8",861
"1908","Synechococcus phage S-CBM2",861
"1909","Synechococcus phage S-CBP2",861
"1910","Synechococcus phage S-CBP4",861
"1911","Synechococcus phage S-CBP42",861
"1916","Synechococcus phage S-RIM8 A.HR1",861
"2048","Vibrio phage eugene 12A10",861
"2051","Vibrio phage jenny 12G5",861
"2055","Vibrio phage pYD21-A",861
"2056","Vibrio phage pYD38-A",861
"326","Cyanophage KBS-S-1A",820
"327","Cyanophage KBS-S-2A",820
"395","Emiliania huxleyi virus 202",820
"396","Emiliania huxleyi virus 207",820
"397","Emiliania huxleyi virus 84",820
"398","Emiliania huxleyi virus 88",820
"528","Halorubrum phage GNf2",820
"1356","Loktanella phage pCB2051-A",820
"1714","Rhizobium phage RR1-A",820
"1716","Rhodobacter phage RcNL1",820
"1722","Rhodovulum phage RS1",820
"1789","Salicola phage CGphi29",820
"1905","Synechococcus phage KBS-M-1A",820
"1919","Synechococcus phage S-SKS1",820
"1926","Tetraselmis viridis virus N1",820
"1928","Tetraselmis viridis virus S20",820
"2062","Vibrio phage VD1",820
"558","Hepatitis E virus",808
"641","Human rotavirus A",801
"161","Bovine rotavirus",707
"567","Huaiyangshan virus",706
"1651","Porcine reproductive and respiratory syndrome virus",676
"262","Classical swine fever virus",627
"1378","Measles morbillivirus",580
"242","Chikungunya virus",554
"311","Crimean-Congo hemorrhagic fever orthonairovirus",531
"549","Hepatitis C virus subtype 1a",516
"411","Enterovirus A71",505
"55","Avian avulavirus 1",478
"1852","Small ruminant morbillivirus",444
"1636","Porcine circovirus 2",443
"431","Equine infectious anemia virus",442
"967","Influenza A virus (A/Jiangsu/2/2009(H1N1))",420
"1365","Maize streak virus",406
"966","Influenza A virus (A/Jiangsu/1/2009(H1N1))",390
"1934","Tick-borne encephalitis virus",347
"611","Human metapneumovirus",342
"593","Human betaherpesvirus 5",341
"162","Bovine rotavirus A",340
"550","Hepatitis C virus subtype 1b",328
"1438","Mycobacterium virus Bron",325
"383","Echovirus E30",319
"1846","Simian immunodeficiency virus",310
"1312","Japanese encephalitis virus",304
"198","Canine morbillivirus",293
"1037","Influenza A virus (A/Nanjing/1/2009(H3N2))",288
"607","Human immunodeficiency virus 2",285
"1775","Rotavirus G10",280
"387","Echovirus E9",277
"464","Feline coronavirus UU17",276
"465","Feline coronavirus UU19",276
"467","Feline coronavirus UU40",276
"1810","SARS coronavirus MA15 ExoN1",276
"577","Human adenovirus 56",272
"1043","Influenza A virus (A/New Hampshire/3/2006(H3N2))",272
"551","Hepatitis C virus subtype 2a",261
"1021","Influenza A virus (A/Mexico City/MCIG01/2009(H1N1))",253
"1763","Rotavirus A human/USA/2009727032/2009/G9P[8]",253
"1629","Plum pox virus",235
"1762","Rotavirus A human/Bethesda/DC1208/1980/G4P[8]",231
"62","Avian leukosis virus",213
"1019","Influenza A virus (A/Mexico city/CIA1/2009(H1N1))",210
"1020","Influenza A virus (A/Mexico city/CIA10/2009(H1N1))",210
"133","Bluetongue virus",207
"625","Human parvovirus 4",206
"603","Human gammaherpesvirus 4",205
"1615","Phlebovirus XLL/China/2009",198
"481","Foot-and-mouth disease virus - type O",194
"1405","Mink coronavirus strain WD1127",190
"612","Human orthopneumovirus",188
"1553","Orthobunyavirus BX-2010/Henan/CHN",183
"2011","Turkey astrovirus 1",183
"926","Influenza A virus (A/Guangdong/01/2009(H1N1))",180
"629","Human poliovirus 2",178
"878","Influenza A virus (A/England/456/2009(H1N1))",171
"1210","Influenza A virus (A/swine/Thailand/CU-SA412/2010(H1N1))",171
"1211","Influenza A virus (A/swine/Thailand/CU-SA43/2010(H1N1))",171
"1287","Influenza A virus (A/wild duck/Shantou/1737/2000(H6N8))",171
"956","Influenza A virus (A/Hong Kong/415742/2009(H1N1))",165
"310","Cricetid gammaherpesvirus 2",156
"1421","Mumps rubulavirus",156
"97","Bat astrovirus Ms/sy3/CHN/2008",153
"102","Bat coronavirus Philippines/Diliman1525G2/2008",153
"252","Chimpanzee parv4",153
"466","Feline coronavirus UU22",153
"1084","Influenza A virus (A/Russia/4/2009(H1N1))",153
"1274","Influenza A virus (A/Vancouver/01/2009(H1N1))",153
"1708","Reovirus sp. Salmo/GP-2010/NOR",153
"1996","Torque teno virus 10",153
"111","Beak and feather disease virus",152
"478","Foot-and-mouth disease virus - type A",149
"1713","Rhinovirus C",146
"297","Cowpox virus",144
"865","Influenza A virus (A/Dundgobi/9746/2009(H1N1))",140
"1809","SARS coronavirus HKU-39849",136
"999","Influenza A virus (A/Malaysia/10226/2009(H1N1))",132
"1265","Influenza A virus (A/turkey/Ontario/FAV110/2009(H1N1))",132
"584","Human alphaherpesvirus 2",130
"1330","La Crosse virus",128
"353","Dengue virus 4",127
"1851","Small ruminant lentivirus",127
"1982","Tomato spotted wilt orthotospovirus",127
"1985","Tomato yellow leaf curl virus",127
"163","Bovine viral diarrhea virus 1",126
"390","Edge Hill virus",126
"656","Infectious bursal disease virus",123
"1648","Porcine parvovirus",121
"686","Influenza A virus (A/Bahia/12606/2009(H1N1))",120
"1031","Influenza A virus (A/Myanmar/M193/2008(H1N1))",120
"1074","Influenza A virus (A/Rio de Janeiro/5090/2009(H1N1))",120
"1083","Influenza A virus (A/Russia/149/2009(H1N1))",120
"1437","Mycobacterium virus Angelica",120
"1735","Rift Valley fever virus",120
"1840","Simian-Human immunodeficiency virus",120
"1786","Saffold virus",116
"1307","Iris yellow spot virus",113
"1573","Parechovirus A",113
"1776","Rotavirus G9",112
"718","Influenza A virus (A/canine/Guangdong/1/2006(H3N2))",110
"906","Influenza A virus (A/Finland/565/2009(H1N1))",110
"1819","Seoul orthohantavirus",109
"1660","Potato virus Y",108
"2084","Yellow fever virus",106
"591","Human astrovirus 4",105
"908","Influenza A virus (A/Fujian/136/2000(H1N1))",105
"946","Influenza A virus (A/Han/9/2002(H3N2))",105
"970","Influenza A virus (A/Jingsheng/1/1956(H1N1))",105
"1568","Papaya ringspot virus",105
"1711","Rhinovirus A",103
"1380","Measles virus genotype D4",102
"1823","SFTS virus HB29",102
"646","Human T-cell leukemia virus type I",101
"377","Echovirus E11",99
"2091","Zucchini yellow mosaic virus",97
"501","GB virus C",96
"604","Human gammaherpesvirus 8",92
"724","Influenza A virus (A/Che/NIV658/2009(H1N1))",92
"36","Anajatuba virus",91
"203","Canine parvovirus 2c",91
"662","Influenza A virus (A/Alabama/AF2060/2009(H1N1))",91
"787","Influenza A virus (A/chicken/Sichuan/81/2005(H5N1))",91
"804","Influenza A virus (A/Delaware/AF2171/2009(H1N1))",91
"974","Influenza A virus (A/Kansas/AF2261/2009(H1N1))",91
"986","Influenza A virus (A/Korea/AF2361/2009(H1N1))",91
"1110","Influenza A virus (A/Singapore/ON129/2009(H1N1))",91
"1112","Influenza A virus (A/South Carolina/AF2561/2009(H1N1))",91
"1279","Influenza A virus (A/Virginia/AF2661/2009(H1N1))",91
"1298","Influenza B virus (B/Bahia/25/2008)",91
"1306","Influenza C virus (C/Catalonia/1824/2009)",91
"289","Cotton leaf curl virus betasatellite",90
"570","Human adenovirus 14p1",90
"1612","Phlebovirus JS24",90
"1822","SFTS virus AH12",90
"1922","Tahyna virus",90
"386","Echovirus E6",89
"1997","Toscana virus",87
"422","Equid alphaherpesvirus 1",85
"107","Bat mastadenovirus",84
"300","Coxsackievirus A16",84
"615","Human papillomavirus type 16",84
"1559","Ovine progressive pneumonia virus",84
"302","Coxsackievirus A24",81
