"","Var1","Freq"
"296","Dengue virus 2",48985
"295","Dengue virus 1",40691
"445","Hepatitis C virus subtype 1a",38867
"297","Dengue virus 3",20263
"446","Hepatitis C virus subtype 1b",10241
"501","Human immunodeficiency virus 1",7857
"298","Dengue virus 4",3592
"441","Hepatitis B virus",1978
"1493","Simian foamy virus",1682
"440","Hepacivirus C",1479
"56","Avian avulavirus 1",1285
"451","Hepatitis E virus",1086
"545","Human rotavirus A",989
"1349","Porcine reproductive and respiratory syndrome virus",971
"334","Enterovirus A71",913
"376","Feline immunodeficiency virus",809
"1383","Rabies lyssavirus",692
"1667","West Nile virus",681
"1338","Porcine circovirus 2",594
"236","Classical swine fever virus",545
"182","Canine morbillivirus",540
"1494","Simian immunodeficiency virus",526
"507","Human orthopneumovirus",501
"1080","Measles morbillivirus",474
"1510","Soybean yellow mottle mosaic virus",430
"696","Influenza A virus (A/chicken/Thailand/ICRC-618/2008(H5N1))",390
"1345","Porcine epidemic diarrhea virus",385
"191","Caprine arthritis encephalitis virus",360
"806","Influenza A virus (A/Hong Kong/1/1968(H3N2))",354
"589","Influenza A virus (A/Brazil/1732/2002(H3N2))",351
"603","Influenza A virus (A/Cheonnam/323/2002(H3N2))",351
"697","Influenza A virus (A/chicken/Thailand/ICRC-V586/2008(H5N1))",351
"712","Influenza A virus (A/CHITA/6/2003(H3N2))",351
"714","Influenza A virus (A/CHRISTCHURCH/37/2002(H3N2))",351
"953","Influenza A virus (A/Tianjin/5/2002(H3N2))",351
"559","Infectious bronchitis virus",344
"867","Influenza A virus (A/mute swan/Aktau/1460/2006(H5N1))",301
"1563","Tick-borne encephalitis virus",297
"403","GB virus C",288
"268","Crimean-Congo hemorrhagic fever orthonairovirus",284
"1535","Suid alphaherpesvirus 1",276
"560","Infectious bursal disease virus",271
"321","Echovirus E30",267
"502","Human immunodeficiency virus 2",265
"389","Foot-and-mouth disease virus - type O",264
"277","Culex flavivirus",260
