"","Var1","Freq"
"888","Human immunodeficiency virus 1",357
"788","Hepatitis B virus",120
"91","Avian avulavirus 1",111
"785","Hepacivirus C",107
"1957","Measles virus genotype D8",101
"2429","Rabies lyssavirus",90
"2481","Rotavirus A",88
"944","Human rotavirus A",85
"960","Infectious bronchitis virus",78
"2375","Porcine reproductive and respiratory syndrome virus",76
"582","Enterovirus A71",67
"801","Hepatitis E virus",66
"407","Classical swine fever virus",59
"2359","Porcine circovirus 2",52
"2363","Porcine epidemic diarrhea virus",49
"501","Dengue virus 1",45
"405","Citrus tristeza virus",43
"1952","Measles virus genotype B3",41
"2258","Orf virus",41
"897","Human orthopneumovirus",36
"309","Canine morbillivirus",33
"471","Cucumber mosaic virus",33
"454","Coxsackievirus A6",32
"1954","Measles virus genotype D4",31
"377","Chikungunya virus",30
"502","Dengue virus 2",30
"260","Bovine viral diarrhea virus 1",29
"963","Infectious pancreatic necrosis virus",28
"1958","Measles virus genotype D9",28
"2762","Tomato yellow leaf curl virus",28
"804","Hepatovirus A",27
"2661","Suid alphaherpesvirus 1",27
"2705","Tick-borne encephalitis virus",26
"896","Human metapneumovirus",25
"98","Avian leukosis virus",24
"1994","Mumps rubulavirus",24
"2280","Papaya ringspot virus",24
"2848","West Nile virus",24
"2740","Tomato leaf curl New Delhi virus",23
"545","Echovirus E30",22
"1847","Japanese encephalitis virus",22
"2397","Potato virus Y",22
"21","African swine fever virus",21
"2596","Simian immunodeficiency virus",21
"500","Dengue virus",20
"905","Human papillomavirus type 16",20
"2606","Small ruminant morbillivirus",20
"310","Canine parvovirus",19
"461","Crimean-Congo hemorrhagic fever orthonairovirus",19
"688","Foot-and-mouth disease virus - type O",19
"885","Human gammaherpesvirus 4",18
"961","Infectious bursal disease virus",18
"2365","Porcine kobuvirus",18
"2500","Rubella virus",17
"898","Human papillomavirus",16
"927","Human poliovirus 1",16
"2583","Shrimp white spot syndrome virus",16
"2754","Tomato spotted wilt orthotospovirus",16
"181","Beak and feather disease virus",15
"936","Human respirovirus 1",15
"238","Bovine alphaherpesvirus 1",14
"447","Coxsackievirus A16",14
"503","Dengue virus 3",14
"1960","Measles virus genotype H1",14
"2428","Rabbit hemorrhagic disease virus",14
"2575","Severe fever with thrombocytopenia virus",14
"367","Chicken anemia virus",13
"497","Deformed wing virus",13
"2000","Mungbean yellow mosaic virus",13
"2132","Norovirus GII",13
"257","Bovine rotavirus A",12
"603","Equid alphaherpesvirus 1",12
"744","Grapevine leafroll-associated virus 3",12
"867","Human betaherpesvirus 5",12
"2343","Plum pox virus",12
"105","Avian orthoreovirus",11
"183","Bean common mosaic virus",11
"469","Cucumber green mottle mosaic virus",11
"663","Feline leukemia virus",11
"855","Human alphaherpesvirus 2",11
"947","Human T-cell leukemia virus type I",11
"2338","Piscine orthoreovirus",11
"2510","Salmon isavirus",11
"2617","Soybean mosaic virus",11
"49","Anatid alphaherpesvirus 1",10
"218","Bluetongue virus",10
"230","Border disease virus",10
"547","Echovirus E6",10
"793","Hepatitis C virus subtype 1b",10
"934","Human respiratory syncytial virus A",10
"1949","Measles morbillivirus",10
"2714","Tobacco streak virus",10
"2789","Turnip mosaic virus",10
"458","Coxsackievirus B3",9
"499","Deltapapillomavirus 4",9
"529","Duck reovirus",9
"686","Foot-and-mouth disease virus - type A",9
"800","Hepatitis delta virus",9
"856","Human alphaherpesvirus 3",9
"1976","Middle East respiratory syndrome-related coronavirus",9
"2457","Rhinovirus A",9
"2697","Tembusu virus",9
"37","Alfalfa mosaic virus",8
"146","Banana bunchy top virus",8
"242","Bovine ephemeral fever virus",8
"261","Bovine viral diarrhea virus 2",8
