"","Var1","Freq"
"241","Human immunodeficiency virus 1",200
"531","Torque teno virus",42
"200","Hepatitis B virus",40
"187","GB virus C",39
"199","Hepacivirus C",30
"209","Hepatitis E virus",18
"20","Avian avulavirus 1",17
"344","Measles morbillivirus",16
"231","Human betaherpesvirus 5",12
"239","Human gammaherpesvirus 8",12
"244","Human papillomavirus",12
"266","Human T-cell leukemia virus type I",11
"269","Infectious bursal disease virus",11
"419","Porcine reproductive and respiratory syndrome virus",11
"103","Classical swine fever virus",10
"308","Japanese encephalitis virus",10
"475","Simian immunodeficiency virus",10
"490","Stealth virus 1",10
"433","Rabies lyssavirus",9
"70","Bovine viral diarrhea virus 1",8
"122","Cucumber mosaic virus",8
"242","Human immunodeficiency virus 2",8
"372","Norwalk-like virus",8
"246","Human papillomavirus type 16",7
"311","JC polyomavirus",7
"477","Simian T-lymphotropic virus 1",7
"128","Dengue virus 2",6
"172","Feline calicivirus",6
"174","Feline immunodeficiency virus",6
"177","Foot-and-mouth disease virus",6
"184","Gallid alphaherpesvirus 1",6
"255","Human poliovirus 1",6
"312","Kashmir bee virus",6
"332","Macacine betaherpesvirus 3",6
"551","Venezuelan equine encephalitis virus",6
"50","Bombyx mori nucleopolyhedrovirus",5
"84","Canine morbillivirus",5
"129","Dengue virus 3",5
"228","Human alphaherpesvirus 1",5
"254","Human parvovirus B19",5
"267","Human T-lymphotropic virus 2",5
"500","Suid alphaherpesvirus 1",5
"97","Chlorella virus",4
"102","Citrus tristeza virus",4
"131","Dobrava-Belgrade orthohantavirus",4
"139","Echovirus E30",4
"171","Felid alphaherpesvirus 1",4
"205","Hepatitis C virus subtype 1b",4
"238","Human gammaherpesvirus 4",4
"327","Lymphocytic choriomeningitis mammarenavirus",4
"331","Macacine alphaherpesvirus 1",4
"415","Porcine circovirus 2",4
"435","Raspberry ringspot virus",4
"444","Rice tungro bacilliform virus",4
"462","Salmon isavirus",4
"479","Sindbis virus",4
"509","Tick-borne encephalitis virus",4
"546","unidentified adenovirus",4
"6","African horse sickness virus",3
"13","Anatid alphaherpesvirus 1",3
"17","Ateline gammaherpesvirus 3",3
"19","Aves polyomavirus 1",3
"30","Banana bunchy top virus",3
"34","Barley yellow dwarf virus",3
"38","Bean common mosaic virus",3
"51","Borna disease virus 1",3
"58","Bovine gammaherpesvirus 4",3
"61","Bovine immunodeficiency virus",3
"65","Bovine orthopneumovirus",3
"77","Broad bean wilt virus 2",3
"78","Buzura suppressaria nucleopolyhedrovirus",3
"109","Cotton leaf crumple virus",3
"152","Epiphyas postvittana nucleopolyhedrovirus",3
"157","Equine arteritis virus",3
"208","Hepatitis delta virus",3
"243","Human orthopneumovirus",3
"250","Human papillomavirus type 6",3
"268","Infectious bronchitis virus",3
"285","Influenza A virus (A/Hong Kong/481/97(H5N1))",3
"302","Influenza B virus",3
"336","Maize streak virus",3
"343","Marek's disease virus serotype 2 MDV2",3
"354","Mumps rubulavirus",3
"357","Murine hepatitis virus",3
"371","Norovirus isolates",3
"392","Papaya ringspot virus",3
"427","Potato virus Y",3
"431","Puumala orthohantavirus",3
"512","Tobacco rattle virus",3
"516","Tomato leaf curl Sinaloa virus",3
"520","Tomato spotted wilt orthotospovirus",3
"565","Wheat rosette stunt virus",3
"4","Adeno-associated virus - 5",2
"7","African swine fever virus",2
"22","Avian leukosis virus",2
"23","Avian metapneumovirus",2
"24","Avian orthoreovirus",2
"26","Bacillus phage phi105",2
"28","Bamboo mosaic virus",2
"36","Beak and feather disease virus",2
"48","Bluetongue virus",2
"49","Bombyx mori cypovirus 1",2
"63","Bovine leukemia virus",2
"67","Bovine respiratory syncytial virus ATCC51908",2
"71","Bovine viral diarrhea virus 2",2
"83","Canine coronavirus",2
"92","Chelonus inanitus bracovirus",2
"98","Choristoneura fumiferana multiple nucleopolyhedrovirus",2
"100","Chuzan virus",2
"111","Cowpea aphid-borne mosaic virus",2
"112","Cowpox virus",2
"116","Coxsackievirus B2",2
"118","Coxsackievirus B6",2
"132","Duck hepatitis B virus",2
"141","Ectromelia virus",2
"143","Encephalomyocarditis virus",2
"153","Epizootic haematopoietic necrosis virus",2
"155","Equid gammaherpesvirus 2",2
"162","Escherichia virus Mu",2
"166","Escherichia virus T4",2
"173","Feline foamy virus",2
"176","Fiji disease virus",2
"178","Foot-and-mouth disease virus - type A",2
"179","Foot-and-mouth disease virus - type O",2
"182","Fowlpox virus",2
"206","Hepatitis C virus subtype 2b",2
"207","Hepatitis C virus subtype 3a",2
"211","Hepatovirus A",2
"215","HIV-like human cancer virus",2
"224","Human adenovirus 7",2
"234","Human endogenous retrovirus",2
"240","Human immunodeficiency virus",2
"261","Human rotavirus A",2
"270","Infectious pancreatic necrosis virus",2
"286","Influenza A virus (A/Hong Kong/482/97(H5N1))",2
"289","Influenza A virus (A/mallard duck/PA/10218/84(H5N2))",2
"296","Influenza A virus (A/Sydney/05/97-like(H3N2))",2
"303","Influenza B virus (B/Aichi/5/88)",2
"307","Jaagsiekte sheep retrovirus",2
"334","Macropodid alphaherpesvirus 1",2
"340","Mamestra brassicae multiple nucleopolyhedrovirus",2
"342","Mammalian rubulavirus 5",2
"347","Mesocricetus auratus polyomavirus 1",2
"363","Mycoplasma phage MAV1",2
"384","Orf virus",2
"402","Peanut stripe virus",2
"404","Pepper geminivirus",2
"414","Porcine adenovirus 3",2
"423","Porcine teschovirus 1",2
"425","Potato virus A",2
"429","Pseudomonas virus phiCTX",2
"437","Rat cytomegalovirus Maastricht",2
"452","Rotavirus G2",2
"454","Rotavirus G4",2
"456","Rotavirus str. US1205",2
"460","Saimiriine gammaherpesvirus 2",2
"473","Simian-Human immunodeficiency virus",2
"474","Simian foamy virus",2
"493","Streptococcus virus Sfi19",2
"502","Sweet potato feathery mottle virus",2
"504","Swine hepatitis E virus",2
"508","Thosea asigna virus",2
"510","Tobacco apical stunt virus",2
"511","Tobacco mosaic virus",2
"515","Tomato leaf curl New Delhi virus - [Luffa]",2
"517","Tomato leaf curl virus",2
"519","Tomato mosaic virus",2
"534","Transmissible gastroenteritis virus",2
"539","Tula orthohantavirus",2
"541","Tupaiid betaherpesvirus 1",2
"542","Turkey adenovirus 3",2
"543","Turkey coronavirus",2
"559","Viral hemorrhagic septicemia virus 07-71",2
"566","Wheat spindle streak mosaic virus",2
"568","Wheat yellow mosaic virus",2
"575","Xestia c-nigrum granulovirus",2
"576","Yaba monkey tumor virus",2
"577","Yellow fever virus",2
"581","Zucchini yellow mosaic virus",2
"1","Abutilon mosaic virus",1
"2","Adeno-associated virus - 1",1
"3","Adeno-associated virus - 2",1
"5","African cassava mosaic virus-[Cameroon]",1
"8","Aichi virus 1",1
"9","Aleutian mink disease virus",1
"10","Alfalfa mosaic virus",1
"11","Alternanthera mosaic virus",1
"12","Amur virus",1
"14","Andes orthohantavirus",1
"15","Apricot latent virus",1
"16","Asian elephant endotheliolytic herpesvirus",1
"18","Australian bat lyssavirus",1
"21","Avian endogenous virus",1
"25","Azuki bean mosaic virus",1
"27","Bacteroides phage B40-8",1
"29","Banana bract mosaic virus",1
"31","Banna virus",1
"32","Banna virus strain JKT-6423",1
"33","Barley mild mosaic virus",1
"35","Barley yellow mosaic virus",1
"37","Bean calico mosaic virus",1
"39","Bean yellow mosaic virus",1
"40","Beet necrotic yellow vein virus",1
"41","Beet pseudoyellows virus",1
"42","Beet soil-borne mosaic virus",1
"43","Beet soil-borne virus",1
"44","Beet virus Q",1
"45","Beet western yellows virus",1
"46","Beet yellows virus",1
"47","Blackcurrant reversion virus satellite RNA",1
"52","Bovine adenovirus 3",1
"53","Bovine alphaherpesvirus 5",1
"54","Bovine calicivirus strain Jena",1
"55","Bovine circovirus",1
"56","Bovine coronavirus",1
"57","Bovine ephemeral fever virus",1
"59","Bovine group B rotavirus",1
"60","Bovine herpesvirus type 1.1",1
"62","Bovine immunodeficiency virus FL112",1
"64","Bovine lymphotropic herpesvirus",1
"66","Bovine papillomavirus type 2",1
"68","Bovine rotavirus",1
"69","Bovine torovirus",1
"72","Bovine viral diarrhea virus strain Bega",1
"73","Bovine viral diarrhea virus strain Oregon C24V",1
"74","Bovine viral diarrhea virus strain Rit 4350",1
"75","Brazilian caprine lentivirus",1
"76","Breda virus",1
"79","Cache Valley virus",1
"80","Calanthe mild mosaic virus",1
"81","Cali mammarenavirus",1
"82","Canid alphaherpesvirus 1",1
"85","Canine parvovirus",1
"86","Canine rotavirus K9",1
"87","Caprine arthritis encephalitis virus",1
"88","Carnation latent virus",1
"89","Carnation vein mottle virus",1
"90","Cauliflower mosaic virus",1
"91","Cercopithecine alphaherpesvirus 9",1
"93","Chilli vein-banding mottle virus",1
"94","Chinese wheat mosaic virus",1
"95","Chino del tomate virus",1
"96","Chino del tomate virus-[IC]",1
"99","Chrysanthemum stem necrosis virus",1
"101","Citrus ringspot virus",1
"104","Clostridium botulinum D phage",1
"105","Clover yellow vein virus",1
"106","Cocal virus",1
"107","Corynephage 304L",1
"108","Cotesia congregata bracovirus",1
"110","Cotton leaf curl virus",1
"113","Coxsackievirus A1",1
"114","Coxsackievirus A21",1
"115","Coxsackievirus A4",1
"117","Coxsackievirus B5",1
"119","Crimean-Congo hemorrhagic fever orthonairovirus",1
"120","Cryphonectria hypovirus 1",1
"121","Cryphonectria parasitica hypovirulence associated virus",1
"123","Cucurbit yellow stunting disorder virus",1
"124","Cydia pomonella granulovirus",1
"125","Dasheen mosaic virus",1
"126","Dengue virus",1
"127","Dengue virus 1",1
"130","Dengue virus 4",1
"133","East African cassava mosaic virus - [Kenya - K2B]",1
"134","Eastern equine encephalitis virus",1
"135","Ebola virus - Mayinga, Zaire, 1976",1
"136","Echovirus E1",1
"137","Echovirus E11",1
"138","Echovirus E25",1
"140","Echovirus E5",1
"142","Ectropis obliqua nucleopolyhedrovirus",1
"144","Enterobacteria phage Ac3",1
"145","Enterobacteria phage H19J",1
"146","Enterobacteria phage M11",1
"147","Enterobacteria phage MX1",1
"148","Enterobacteria phage RB27",1
"149","Enterobacteria phage RB69",1
"150","Enterobacteria phage T6",1
"151","Enterovirus A71",1
"154","Equid alphaherpesvirus 3",1
"156","Equid gammaherpesvirus 5",1
"158","Erysimum latent virus",1
"159","Escherichia virus 186",1
"160","Escherichia virus HK022",1
"161","Escherichia virus HK97",1
"163","Escherichia virus N15",1
"164","Escherichia virus P1",1
"165","Escherichia virus P2",1
"167","Escherichia virus T5",1
"168","European bat 1 lyssavirus",1
"169","Everglades virus",1
"170","Faba bean necrotic yellows C7 alphasatellite",1
"175","Feline leukemia virus",1
"180","Foot-and-mouth disease virus - type SAT 1",1
"181","Fowl aviadenovirus 9",1
"183","Fusarium poae virus 1",1
"185","Gallid alphaherpesvirus 2",1
"186","Garlic virus A",1
"188","GB virus C variant troglodytes",1
"189","Gibbon ape leukemia virus",1
"190","Gloxinia tospovirus",1
"191","Grapevine leafroll-associated virus 2",1
"192","Grapevine rupestris stem pitting-associated virus",1
"193","Grapevine rupestris stem pitting-associated virus 1",1
"194","Hantavirus CRF110",1
